docstring,code,generated_comment
"Creates the directory specified by path, creating intermediate directories
    as necessary. If directory already exists, this is a no-op.

    :param path: The directory to create
    :type path: str
    :param mode: The mode to give to the directory e.g. 0o755, ignores umask
    :type mode: int","def foo(path, mode):
    
    try:
        o_umask = os.umask(0)
        os.makedirs(path, mode)
    except OSError:
        if not os.path.isdir(path):
            raise
    finally:
        os.umask(o_umask)","This function creates a directory with the specified path and permissions, restoring the original umask afterwards."
"A small helper function to convert a string to a numeric value
    if appropriate

    :param s: the string to be converted
    :type s: str","def foo(s):
    
    try:
        ret = float(s)
    except (ValueError, TypeError):
        ret = s
    return ret","This function attempts to convert a given input to a floating-point number, or returns the original input if conversion fails."
"Make a naive datetime.datetime in a given time zone aware.

    :param value: datetime
    :param timezone: timezone
    :return: localized datetime in settings.TIMEZONE or timezone","def foo(value, timezone=None):
    
    if timezone is None:
        timezone = TIMEZONE

    
    if is_localized(value):
        raise ValueError(
            ""foo expects a naive datetime, got %s"" % value)
    if hasattr(value, 'fold'):
        
        
        
        
        value = value.replace(fold=1)
    if hasattr(timezone, 'localize'):
        
        return timezone.localize(value)
    elif hasattr(timezone, 'convert'):
        
        return timezone.convert(value)
    else:
        
        return value.replace(tzinfo=timezone)","This function attaches a timezone to a naive datetime object, handling different methods of timezone application."
"Make an aware datetime.datetime naive in a given time zone.

    :param value: datetime
    :param timezone: timezone
    :return: naive datetime","def foo(value, timezone=None):
    
    if timezone is None:
        timezone = TIMEZONE

    
    if is_naive(value):
        raise ValueError(""foo() cannot be applied to a naive datetime"")

    o = value.astimezone(timezone)

    
    naive = dt.datetime(o.year,
                        o.month,
                        o.day,
                        o.hour,
                        o.minute,
                        o.second,
                        o.microsecond)

    return naive","This function converts a timezone-aware datetime object to its timezone-naive equivalent, raising an error if the input datetime is naive."
"Wrapper around datetime.datetime that adds settings.TIMEZONE if tzinfo not specified

    :return: datetime.datetime","def foo(*args, **kwargs):
    
    if 'tzinfo' not in kwargs:
        kwargs['tzinfo'] = TIMEZONE

    return dt.foo(*args, **kwargs)","This function adds a default timezone to the arguments if not provided, then calls another function with the updated arguments."
Establish a connection to druid broker.,"def foo(self):
        
        conn = self.get_connection(self.druid_broker_conn_id)
        druid_broker_conn = connect(
            host=conn.host,
            port=conn.port,
            path=conn.extra_dejson.get('endpoint', '/druid/v2/sql'),
            scheme=conn.extra_dejson.get('schema', 'http')
        )
        self.log.info('Get the connection to druid broker on %s', conn.host)
        return druid_broker_conn",This function establishes a connection to a Druid broker server using parameters from a pre-defined connection ID and returns the connection object.
"Returns http session for use with requests

        :param headers: additional headers to be passed through as a dictionary
        :type headers: dict","def foo(self, headers=None):
        
        session = requests.Session()
        if self.http_conn_id:
            conn = self.get_connection(self.http_conn_id)

            if ""://"" in conn.host:
                self.base_url = conn.host
            else:
                
                schema = conn.schema if conn.schema else ""http""
                self.base_url = schema + ""://"" + conn.host

            if conn.port:
                self.base_url = self.base_url + "":"" + str(conn.port)
            if conn.login:
                session.auth = (conn.login, conn.password)
            if conn.extra:
                try:
                    session.headers.update(conn.extra_dejson)
                except TypeError:
                    self.log.warn('Connection to %s has invalid extra field.', conn.host)
        if headers:
            session.headers.update(headers)

        return session","This function initializes a session with customizable headers, handles connection details like URL and authentication, and returns a configured session object for making HTTP requests."
"Performs the request

        :param endpoint: the endpoint to be called i.e. resource/v1/query?
        :type endpoint: str
        :param data: payload to be uploaded or request parameters
        :type data: dict
        :param headers: additional headers to be passed through as a dictionary
        :type headers: dict
        :param extra_options: additional options to be used when executing the request
            i.e. {'check_response': False} to avoid checking raising exceptions on non
            2XX or 3XX status codes
        :type extra_options: dict","def foo(self, endpoint, data=None, headers=None, extra_options=None):
        
        extra_options = extra_options or {}

        session = self.get_conn(headers)

        if self.base_url and not self.base_url.endswith('/') and \
           endpoint and not endpoint.startswith('/'):
            url = self.base_url + '/' + endpoint
        else:
            url = (self.base_url or '') + (endpoint or '')

        req = None
        if self.method == 'GET':
            
            req = requests.Request(self.method,
                                   url,
                                   params=data,
                                   headers=headers)
        elif self.method == 'HEAD':
            
            req = requests.Request(self.method,
                                   url,
                                   headers=headers)
        else:
            
            req = requests.Request(self.method,
                                   url,
                                   data=data,
                                   headers=headers)

        prepped_request = session.prepare_request(req)
        self.log.info(""Sending '%s' to url: %s"", self.method, url)
        return self.run_and_check(session, prepped_request, extra_options)","This function constructs and sends an HTTP request using the specified method, URL endpoint, parameters, headers, and additional options, then returns the response."
"Checks the status code and raise an AirflowException exception on non 2XX or 3XX
        status codes

        :param response: A requests response object
        :type response: requests.response","def foo(self, response):
        
        try:
            response.raise_for_status()
        except requests.exceptions.HTTPError:
            self.log.error(""HTTP error: %s"", response.reason)
            if self.method not in ['GET', 'HEAD']:
                self.log.error(response.text)
            raise AirflowException(str(response.status_code) + "":"" + response.reason)","This function checks the HTTP response status and logs an error for non-successful status codes, raising an exception with the status code and reason."
"Grabs extra options like timeout and actually runs the request,
        checking for the result

        :param session: the session to be used to execute the request
        :type session: requests.Session
        :param prepped_request: the prepared request generated in run()
        :type prepped_request: session.prepare_request
        :param extra_options: additional options to be used when executing the request
            i.e. {'check_response': False} to avoid checking raising exceptions on non 2XX
            or 3XX status codes
        :type extra_options: dict","def foo(self, session, prepped_request, extra_options):
        
        extra_options = extra_options or {}

        try:
            response = session.send(
                prepped_request,
                stream=extra_options.get(""stream"", False),
                verify=extra_options.get(""verify"", True),
                proxies=extra_options.get(""proxies"", {}),
                cert=extra_options.get(""cert""),
                timeout=extra_options.get(""timeout""),
                allow_redirects=extra_options.get(""allow_redirects"", True))

            if extra_options.get('check_response', True):
                self.check_response(response)
            return response

        except requests.exceptions.ConnectionError as ex:
            self.log.warn(str(ex) + ' Tenacity will retry to execute the operation')
            raise ex","This function sends an HTTP request using the given `session` and `prepped_request`, allowing for customized options, and optionally checks the response."
Contextmanager that will create and teardown a session.,"def foo():
    
    session = settings.Session()
    try:
        yield session
        session.commit()
    except Exception:
        session.rollback()
        raise
    finally:
        session.close()","This function provides a context manager that manages a database session, commits on success, and rolls back on error."
"Function decorator that provides a session if it isn't provided.
    If you want to reuse a session or run the function as part of a
    database transaction, you pass it to the function, if not this wrapper
    will create one and close it for you.","def foo(func):
    
    @wraps(func)
    def wrapper(*args, **kwargs):
        arg_session = 'session'

        func_params = func.__code__.co_varnames
        session_in_args = arg_session in func_params and \
            func_params.index(arg_session) < len(args)
        session_in_kwargs = arg_session in kwargs

        if session_in_kwargs or session_in_args:
            return func(*args, **kwargs)
        else:
            with create_session() as session:
                kwargs[arg_session] = session
                return func(*args, **kwargs)

    return wrapper",This function decorates another function to ensure it's called with a `session` either passed directly or created inside the wrapper.
Clear out the database,"def foo():
    
    from airflow import models

    
    from alembic.migration import MigrationContext

    log.info(""Dropping tables that exist"")

    models.base.Base.metadata.drop_all(settings.engine)
    mc = MigrationContext.configure(settings.engine)
    if mc._version.exists(settings.engine):
        mc._version.drop(settings.engine)

    from flask_appbuilder.models.sqla import Base
    Base.metadata.drop_all(settings.engine)

    initdb()","This function clears existing database tables and initializes the database by dropping airflow and Flask-AppBuilder tables, checking for alembic versions, and running a setup routine."
Parses some DatabaseError to provide a better error message,"def foo(e):
        
        if (hasattr(e, 'message') and
            'errorName' in e.message and
                'message' in e.message):
            return ('{name}: {message}'.format(
                    name=e.message['errorName'],
                    message=e.message['message']))
        else:
            return str(e)","This function formats and returns a custom error message if a given error object contains specific attributes, otherwise returns the default string representation of the error."
Get a set of records from Presto,"def foo(self, hql, parameters=None):
        
        try:
            return super().get_records(
                self._strip_sql(hql), parameters)
        except DatabaseError as e:
            raise PrestoException(self._get_pretty_exception_message(e))","This function executes a given HQL query, handles database errors, and returns query results, formatting any exceptions into a user-friendly message."
Get a pandas dataframe from a sql query.,"def foo(self, hql, parameters=None):
        
        import pandas
        cursor = self.get_cursor()
        try:
            cursor.execute(self._strip_sql(hql), parameters)
            data = cursor.fetchall()
        except DatabaseError as e:
            raise PrestoException(self._get_pretty_exception_message(e))
        column_descriptions = cursor.description
        if data:
            df = pandas.DataFrame(data)
            df.columns = [c[0] for c in column_descriptions]
        else:
            df = pandas.DataFrame()
        return df","This function executes an SQL query using a provided cursor, fetches the results, and converts them into a pandas DataFrame."
Execute the statement against Presto. Can be used to create views.,"def foo(self, hql, parameters=None):
        
        return super().run(self._strip_sql(hql), parameters)",This function executes a modified version of the provided HQL query with optional parameters using its superclass's run method.
"A generic way to insert a set of tuples into a table.

        :param table: Name of the target table
        :type table: str
        :param rows: The rows to insert into the table
        :type rows: iterable of tuples
        :param target_fields: The names of the columns to fill in the table
        :type target_fields: iterable of strings","def foo(self, table, rows, target_fields=None):
        
        super().insert_rows(table, rows, target_fields, 0)",This function calls a parent class method to insert rows into a specified table without specifying a batch size.
Return a cosmos db client.,"def foo(self):
        
        if self.cosmos_client is not None:
            return self.cosmos_client

        
        self.cosmos_client = cosmos_client.CosmosClient(self.endpoint_uri, {'masterKey': self.master_key})

        return self.cosmos_client","This function checks if a Cosmos DB client already exists; if not, it creates one using provided credentials and returns it."
Checks if a collection exists in CosmosDB.,"def foo(self, collection_name, database_name=None):
        
        if collection_name is None:
            raise AirflowBadRequest(""Collection name cannot be None."")

        existing_container = list(self.get_conn().QueryContainers(
            get_database_link(self.__get_database_name(database_name)), {
                ""query"": ""SELECT * FROM r WHERE r.id=@id"",
                ""parameters"": [
                    {""name"": ""@id"", ""value"": collection_name}
                ]
            }))
        if len(existing_container) == 0:
            return False

        return True",This function checks if a specified container exists within an Azure Cosmos DB database by querying for the container's ID.
Creates a new collection in the CosmosDB database.,"def foo(self, collection_name, database_name=None):
        
        if collection_name is None:
            raise AirflowBadRequest(""Collection name cannot be None."")

        
        
        existing_container = list(self.get_conn().QueryContainers(
            get_database_link(self.__get_database_name(database_name)), {
                ""query"": ""SELECT * FROM r WHERE r.id=@id"",
                ""parameters"": [
                    {""name"": ""@id"", ""value"": collection_name}
                ]
            }))

        
        if len(existing_container) == 0:
            self.get_conn().CreateContainer(
                get_database_link(self.__get_database_name(database_name)),
                {""id"": collection_name})",This function checks if a container exists within an Azure Cosmos DB by its name and creates it if not found.
Checks if a database exists in CosmosDB.,"def foo(self, database_name):
        
        if database_name is None:
            raise AirflowBadRequest(""Database name cannot be None."")

        existing_database = list(self.get_conn().QueryDatabases({
            ""query"": ""SELECT * FROM r WHERE r.id=@id"",
            ""parameters"": [
                {""name"": ""@id"", ""value"": database_name}
            ]
        }))
        if len(existing_database) == 0:
            return False

        return True",This function checks if a database with the provided name exists by querying a connection and throws an error if the name is None.
Creates a new database in CosmosDB.,"def foo(self, database_name):
        
        if database_name is None:
            raise AirflowBadRequest(""Database name cannot be None."")

        
        
        existing_database = list(self.get_conn().QueryDatabases({
            ""query"": ""SELECT * FROM r WHERE r.id=@id"",
            ""parameters"": [
                {""name"": ""@id"", ""value"": database_name}
            ]
        }))

        
        if len(existing_database) == 0:
            self.get_conn().CreateDatabase({""id"": database_name})","This function checks if a database exists in a connection; if not, it creates one, raising an exception if the name is not provided."
Deletes an existing database in CosmosDB.,"def foo(self, database_name):
        
        if database_name is None:
            raise AirflowBadRequest(""Database name cannot be None."")

        self.get_conn().DeleteDatabase(get_database_link(database_name))","This function deletes a specified database, raising an exception if the database name is not provided."
Deletes an existing collection in the CosmosDB database.,"def foo(self, collection_name, database_name=None):
        
        if collection_name is None:
            raise AirflowBadRequest(""Collection name cannot be None."")

        self.get_conn().DeleteContainer(
            get_collection_link(self.__get_database_name(database_name), collection_name))","This function deletes a specified container from a Cosmos DB database, throwing an exception if the collection name is not provided."
Insert a list of new documents into an existing collection in the CosmosDB database.,"def foo(self, documents, database_name=None, collection_name=None):
        
        if documents is None:
            raise AirflowBadRequest(""You cannot insert empty documents"")

        created_documents = []
        for single_document in documents:
            created_documents.append(
                self.get_conn().CreateItem(
                    get_collection_link(
                        self.__get_database_name(database_name),
                        self.__get_collection_name(collection_name)),
                    single_document))

        return created_documents",This function inserts a list of documents into a specified collection within a database and returns the created document objects.
Delete an existing document out of a collection in the CosmosDB database.,"def foo(self, document_id, database_name=None, collection_name=None):
        
        if document_id is None:
            raise AirflowBadRequest(""Cannot delete a document without an id"")

        self.get_conn().DeleteItem(
            get_document_link(
                self.__get_database_name(database_name),
                self.__get_collection_name(collection_name),
                document_id))",This function deletes a specified document from a database collection and raises an error if no document ID is provided.
Get a document from an existing collection in the CosmosDB database.,"def foo(self, document_id, database_name=None, collection_name=None):
        
        if document_id is None:
            raise AirflowBadRequest(""Cannot get a document without an id"")

        try:
            return self.get_conn().ReadItem(
                get_document_link(
                    self.__get_database_name(database_name),
                    self.__get_collection_name(collection_name),
                    document_id))
        except HTTPFailure:
            return None",This function retrieves a specific document by its ID from a database collection and handles exceptions gracefully by returning None on failure.
Get a list of documents from an existing collection in the CosmosDB database via SQL query.,"def foo(self, sql_string, database_name=None, collection_name=None, partition_key=None):
        
        if sql_string is None:
            raise AirflowBadRequest(""SQL query string cannot be None"")

        
        query = {'query': sql_string}

        try:
            result_iterable = self.get_conn().QueryItems(
                get_collection_link(
                    self.__get_database_name(database_name),
                    self.__get_collection_name(collection_name)),
                query,
                partition_key)

            return list(result_iterable)
        except HTTPFailure:
            return None","This function executes a SQL query against a specified database and collection, and returns the query results as a list or None if a failure occurs."
"Returns the Cloud Function with the given name.

        :param name: Name of the function.
        :type name: str
        :return: A Cloud Functions object representing the function.
        :rtype: dict","def foo(self, name):
        
        return self.get_conn().projects().locations().functions().get(
            name=name).execute(num_retries=self.num_retries)","This function retrieves a specified cloud function's metadata using its name, and allows for a set number of retry attempts upon failure."
"Creates a new function in Cloud Function in the location specified in the body.

        :param location: The location of the function.
        :type location: str
        :param body: The body required by the Cloud Functions insert API.
        :type body: dict
        :param project_id: Optional, Google Cloud Project project_id where the function belongs.
            If set to None or missing, the default project_id from the GCP connection is used.
        :type project_id: str
        :return: None","def foo(self, location, body, project_id=None):
        
        response = self.get_conn().projects().locations().functions().create(
            location=self._full_location(project_id, location),
            body=body
        ).execute(num_retries=self.num_retries)
        operation_name = response[""name""]
        self._wait_for_operation_to_complete(operation_name=operation_name)","This function initiates the creation of a cloud function at a specified location, waits for the operation to complete, and handles retries if necessary."
"Updates Cloud Functions according to the specified update mask.

        :param name: The name of the function.
        :type name: str
        :param body: The body required by the cloud function patch API.
        :type body: dict
        :param update_mask: The update mask - array of fields that should be patched.
        :type update_mask: [str]
        :return: None","def foo(self, name, body, update_mask):
        
        response = self.get_conn().projects().locations().functions().patch(
            updateMask="","".join(update_mask),
            name=name,
            body=body
        ).execute(num_retries=self.num_retries)
        operation_name = response[""name""]
        self._wait_for_operation_to_complete(operation_name=operation_name)",This function updates a cloud function with specified changes and waits for the operation to complete.
"Uploads zip file with sources.

        :param location: The location where the function is created.
        :type location: str
        :param zip_path: The path of the valid .zip file to upload.
        :type zip_path: str
        :param project_id: Optional, Google Cloud Project project_id where the function belongs.
            If set to None or missing, the default project_id from the GCP connection is used.
        :type project_id: str
        :return: The upload URL that was returned by generateUploadUrl method.","def foo(self, location, zip_path, project_id=None):
        
        response = self.get_conn().projects().locations().functions().generateUploadUrl(
            parent=self._full_location(project_id, location)
        ).execute(num_retries=self.num_retries)
        upload_url = response.get('uploadUrl')
        with open(zip_path, 'rb') as fp:
            requests.put(
                url=upload_url,
                data=fp,
                
                
                
                headers={
                    'Content-type': 'application/zip',
                    'x-goog-content-length-range': '0,104857600',
                }
            )
        return upload_url",This function uploads a zip file to the generated URL for a Google Cloud Function located in a specified project and region.
"Deletes the specified Cloud Function.

        :param name: The name of the function.
        :type name: str
        :return: None","def foo(self, name):
        
        response = self.get_conn().projects().locations().functions().delete(
            name=name).execute(num_retries=self.num_retries)
        operation_name = response[""name""]
        self._wait_for_operation_to_complete(operation_name=operation_name)",This function deletes a cloud function given its name and waits for the operation to complete before returning.
"Wrapper around the private _get_dep_statuses method that contains some global
        checks for all dependencies.

        :param ti: the task instance to get the dependency status for
        :type ti: airflow.models.TaskInstance
        :param session: database session
        :type session: sqlalchemy.orm.session.Session
        :param dep_context: the context for which this dependency should be evaluated for
        :type dep_context: DepContext","def foo(self, ti, session, dep_context=None):
        
        
        from airflow.ti_deps.dep_context import DepContext

        if dep_context is None:
            dep_context = DepContext()

        if self.IGNOREABLE and dep_context.ignore_all_deps:
            yield self._passing_status(
                reason=""Context specified all dependencies should be ignored."")
            return

        if self.IS_TASK_DEP and dep_context.ignore_task_deps:
            yield self._passing_status(
                reason=""Context specified all task dependencies should be ignored."")
            return

        for dep_status in self._get_dep_statuses(ti, session, dep_context):
            yield dep_status","This function evaluates task instance dependencies against various contexts, yielding status messages depending on the context and dependency checks."
"Returns whether or not this dependency is met for a given task instance. A
        dependency is considered met if all of the dependency statuses it reports are
        passing.

        :param ti: the task instance to see if this dependency is met for
        :type ti: airflow.models.TaskInstance
        :param session: database session
        :type session: sqlalchemy.orm.session.Session
        :param dep_context: The context this dependency is being checked under that stores
            state that can be used by this dependency.
        :type dep_context: BaseDepContext","def foo(self, ti, session, dep_context=None):
        
        return all(status.passed for status in
                   self.get_dep_statuses(ti, session, dep_context))",This function evaluates whether all dependencies for a task instance have successfully passed by checking their status.
"Returns an iterable of strings that explain why this dependency wasn't met.

        :param ti: the task instance to see if this dependency is met for
        :type ti: airflow.models.TaskInstance
        :param session: database session
        :type session: sqlalchemy.orm.session.Session
        :param dep_context: The context this dependency is being checked under that stores
            state that can be used by this dependency.
        :type dep_context: BaseDepContext","def foo(self, ti, session, dep_context=None):
        
        for dep_status in self.get_dep_statuses(ti, session, dep_context):
            if not dep_status.passed:
                yield dep_status.reason",This function iterates through dependency statuses and yields reasons for any that did not pass.
"Parses a config file for s3 credentials. Can currently
    parse boto, s3cmd.conf and AWS SDK config formats

    :param config_file_name: path to the config file
    :type config_file_name: str
    :param config_format: config type. One of ""boto"", ""s3cmd"" or ""aws"".
        Defaults to ""boto""
    :type config_format: str
    :param profile: profile name in AWS type config file
    :type profile: str","def foo(config_file_name, config_format='boto', profile=None):
    
    config = configparser.ConfigParser()
    if config.read(config_file_name):  
        sections = config.sections()
    else:
        raise AirflowException(""Couldn't read {0}"".format(config_file_name))
    
    if config_format is None:
        config_format = 'boto'
    conf_format = config_format.lower()
    if conf_format == 'boto':  
        if profile is not None and 'profile ' + profile in sections:
            cred_section = 'profile ' + profile
        else:
            cred_section = 'Credentials'
    elif conf_format == 'aws' and profile is not None:
        cred_section = profile
    else:
        cred_section = 'default'
    
    if conf_format in ('boto', 'aws'):  
        key_id_option = 'aws_access_key_id'
        secret_key_option = 'aws_secret_access_key'
        
    else:
        key_id_option = 'access_key'
        secret_key_option = 'secret_key'
    
    if cred_section not in sections:
        raise AirflowException(""This config file format is not recognized"")
    else:
        try:
            access_key = config.get(cred_section, key_id_option)
            secret_key = config.get(cred_section, secret_key_option)
        except Exception:
            logging.warning(""Option Error in parsing s3 config file"")
            raise
        return access_key, secret_key","This function reads and parses AWS access credentials from a configuration file based on the specified format and profile, returning the access and secret keys."
"Get the underlying `botocore.Credentials` object.

        This contains the following authentication attributes: access_key, secret_key and token.","def foo(self, region_name=None):
        
        session, _ = self._get_credentials(region_name)
        
        
        
        return session.get_credentials().get_frozen_credentials()",This function retrieves temporary credentials for AWS services for a specified region or the default region if none is provided.
Returns verticaql connection object,"def foo(self):
        
        conn = self.get_connection(self.vertica_conn_id)
        conn_config = {
            ""user"": conn.login,
            ""password"": conn.password or '',
            ""database"": conn.schema,
            ""host"": conn.host or 'localhost'
        }

        if not conn.port:
            conn_config[""port""] = 5433
        else:
            conn_config[""port""] = int(conn.port)

        conn = connect(**conn_config)
        return conn","This function retrieves database connection details, sets connection configurations, and establishes a connection to a Vertica database."
Ensure all logging output has been flushed,"def foo(self):
        
        if len(self._buffer) > 0:
            self.logger.log(self.level, self._buffer)
            self._buffer = str()","This function checks if a buffer has any content, logs it, and then clears the buffer."
"If the path contains a folder with a .zip suffix, then
    the folder is treated as a zip archive and path to zip is returned.","def foo(fileloc):
    

    _, archive, filename = re.search(
        r'((.*\.zip){})?(.*)'.format(re.escape(os.sep)), fileloc).groups()
    if archive and zipfile.is_zipfile(archive):
        return archive
    else:
        return fileloc",This function identifies if a given file path includes a zip archive and returns the archive path or the original file path.
"Traverse a directory and look for Python files.

    :param directory: the directory to traverse
    :type directory: unicode
    :param safe_mode: whether to use a heuristic to determine whether a file
        contains Airflow DAG definitions
    :return: a list of paths to Python files in the specified directory
    :rtype: list[unicode]","def foo(directory, safe_mode=True,
                       include_examples=None):
    
    if include_examples is None:
        include_examples = conf.getboolean('core', 'LOAD_EXAMPLES')
    file_paths = []
    if directory is None:
        return []
    elif os.path.isfile(directory):
        return [directory]
    elif os.path.isdir(directory):
        patterns_by_dir = {}
        for root, dirs, files in os.walk(directory, followlinks=True):
            patterns = patterns_by_dir.get(root, [])
            ignore_file = os.path.join(root, '.airflowignore')
            if os.path.isfile(ignore_file):
                with open(ignore_file, 'r') as f:
                    
                    
                    patterns += [re.compile(p) for p in f.read().split('\n') if p]

            
            
            
            dirs[:] = [
                d
                for d in dirs
                if not any(p.search(os.path.join(root, d)) for p in patterns)
            ]

            
            
            for d in dirs:
                patterns_by_dir[os.path.join(root, d)] = patterns

            for f in files:
                try:
                    file_path = os.path.join(root, f)
                    if not os.path.isfile(file_path):
                        continue
                    mod_name, file_ext = os.path.splitext(
                        os.path.split(file_path)[-1])
                    if file_ext != '.py' and not zipfile.is_zipfile(file_path):
                        continue
                    if any([re.findall(p, file_path) for p in patterns]):
                        continue

                    
                    
                    might_contain_dag = True
                    if safe_mode and not zipfile.is_zipfile(file_path):
                        with open(file_path, 'rb') as fp:
                            content = fp.read()
                            might_contain_dag = all(
                                [s in content for s in (b'DAG', b'airflow')])

                    if not might_contain_dag:
                        continue

                    file_paths.append(file_path)
                except Exception:
                    log = LoggingMixin().log
                    log.exception(""Error while examining %s"", f)
    if include_examples:
        import airflow.example_dags
        example_dag_folder = airflow.example_dags.__path__[0]
        file_paths.extend(foo(example_dag_folder, safe_mode, False))
    return file_paths","This function searches a given directory for Python and ZIP files that may contain Airflow DAG definitions, optionally including example DAGs based on configuration."
"Construct a TaskInstance from the database based on the primary key

        :param session: DB session.
        :param lock_for_update: if True, indicates that the database should
            lock the TaskInstance (issuing a FOR UPDATE clause) until the
            session is committed.","def foo(self, session=None, lock_for_update=False):
        
        TI = airflow.models.TaskInstance

        qry = session.query(TI).filter(
            TI.dag_id == self._dag_id,
            TI.task_id == self._task_id,
            TI.execution_date == self._execution_date)

        if lock_for_update:
            ti = qry.with_for_update().first()
        else:
            ti = qry.first()
        return ti",This function retrieves the first record of a TaskInstance matching specific criteria from the database and optionally locks it for update.
Launch DagFileProcessorManager processor and start DAG parsing loop in manager.,"def foo(self):
        
        self._process = self._launch_process(self._dag_directory,
                                             self._file_paths,
                                             self._max_runs,
                                             self._processor_factory,
                                             self._child_signal_conn,
                                             self._stat_queue,
                                             self._result_queue,
                                             self._async_mode)
        self.log.info(""Launched DagFileProcessorManager with pid: %s"", self._process.pid)","This function initializes a process for managing DAG file processing, logs its launch, and tracks its process ID."
"Send termination signal to DAG parsing processor manager
        and expect it to terminate all DAG file processors.","def foo(self):
        
        self.log.info(""Sending termination message to manager."")
        self._child_signal_conn.send(DagParsingSignal.TERMINATE_MANAGER)",This function logs an info message and sends a termination signal to the manager process through a communication channel.
Helper method to clean up DAG file processors to avoid leaving orphan processes.,"def foo(self, signum, frame):
        
        self.log.info(""Exiting gracefully upon receiving signal %s"", signum)
        self.terminate()
        self.end()
        self.log.debug(""Finished terminating DAG processors."")
        sys.exit(os.EX_OK)","This function handles a signal interruption, logs the event, terminates processes, and exits the program with a successful status code."
"Use multiple processes to parse and generate tasks for the
        DAGs in parallel. By processing them in separate processes,
        we can get parallelism and isolation from potentially harmful
        user code.","def foo(self):
        

        self.log.info(""Processing files using up to %s processes at a time "", self._parallelism)
        self.log.info(""Process each file at most once every %s seconds"", self._file_process_interval)
        self.log.info(
            ""Checking for new files in %s every %s seconds"", self._dag_directory, self.dag_dir_list_interval
        )

        if self._async_mode:
            self.log.debug(""Starting DagFileProcessorManager in async mode"")
            self.start_in_async()
        else:
            self.log.debug(""Starting DagFileProcessorManager in sync mode"")
            self.start_in_sync()","This function configures a manager to process DAG files, either synchronously or asynchronously, based on specified parameters and logging settings."
Parse DAG files repeatedly in a standalone loop.,"def foo(self):
        
        while True:
            loop_start_time = time.time()

            if self._signal_conn.poll():
                agent_signal = self._signal_conn.recv()
                if agent_signal == DagParsingSignal.TERMINATE_MANAGER:
                    self.terminate()
                    break
                elif agent_signal == DagParsingSignal.END_MANAGER:
                    self.end()
                    sys.exit(os.EX_OK)

            self._refresh_dag_dir()

            simple_dags = self.heartbeat()
            for simple_dag in simple_dags:
                self._result_queue.put(simple_dag)

            self._print_stat()

            all_files_processed = all(self.get_last_finish_time(x) is not None
                                      for x in self.file_paths)
            max_runs_reached = self.max_runs_reached()

            dag_parsing_stat = DagParsingStat(self._file_paths,
                                              self.get_all_pids(),
                                              max_runs_reached,
                                              all_files_processed,
                                              len(simple_dags))
            self._stat_queue.put(dag_parsing_stat)

            if max_runs_reached:
                self.log.info(""Exiting dag parsing loop as all files ""
                              ""have been processed %s times"", self._max_runs)
                break

            loop_duration = time.time() - loop_start_time
            if loop_duration < 1:
                sleep_length = 1 - loop_duration
                self.log.debug(""Sleeping for %.2f seconds to prevent excessive logging"", sleep_length)
                time.sleep(sleep_length)","This function continually processes signals, updates DAG directories, manages heartbeats, logs stats, and sleeps if loop iterations are too fast, stopping based on specific conditions."
"Parse DAG files in a loop controlled by DagParsingSignal.
        Actual DAG parsing loop will run once upon receiving one
        agent heartbeat message and will report done when finished the loop.","def foo(self):
        
        while True:
            agent_signal = self._signal_conn.recv()
            if agent_signal == DagParsingSignal.TERMINATE_MANAGER:
                self.terminate()
                break
            elif agent_signal == DagParsingSignal.END_MANAGER:
                self.end()
                sys.exit(os.EX_OK)
            elif agent_signal == DagParsingSignal.AGENT_HEARTBEAT:

                self._refresh_dag_dir()

                simple_dags = self.heartbeat()
                for simple_dag in simple_dags:
                    self._result_queue.put(simple_dag)

                self._print_stat()

                all_files_processed = all(self.get_last_finish_time(x) is not None
                                          for x in self.file_paths)
                max_runs_reached = self.max_runs_reached()

                dag_parsing_stat = DagParsingStat(self._file_paths,
                                                  self.get_all_pids(),
                                                  self.max_runs_reached(),
                                                  all_files_processed,
                                                  len(simple_dags))
                self._stat_queue.put(dag_parsing_stat)

                self.wait_until_finished()
                self._signal_conn.send(DagParsingSignal.MANAGER_DONE)

                if max_runs_reached:
                    self.log.info(""Exiting dag parsing loop as all files ""
                                  ""have been processed %s times"", self._max_runs)
                    self._signal_conn.send(DagParsingSignal.MANAGER_DONE)
                    break","This function continuously processes signals to manage DAG parsing, handling termination, ending, heartbeats, and monitors completion and run limits before exiting."
Refresh file paths from dag dir if we haven't done it for too long.,"def foo(self):
        
        elapsed_time_since_refresh = (timezone.utcnow() -
                                      self.last_dag_dir_refresh_time).total_seconds()
        if elapsed_time_since_refresh > self.dag_dir_list_interval:
            
            self.log.info(""Searching for files in %s"", self._dag_directory)
            self._file_paths = list_py_file_paths(self._dag_directory)
            self.last_dag_dir_refresh_time = timezone.utcnow()
            self.log.info(""There are %s files in %s"", len(self._file_paths), self._dag_directory)
            self.set_file_paths(self._file_paths)

            try:
                self.log.debug(""Removing old import errors"")
                self.clear_nonexistent_import_errors()
            except Exception:
                self.log.exception(""Error removing old import errors"")","The function refreshes the list of DAG files in a directory if a set interval has elapsed, logs related information, and clears old error records."
